0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:14:36 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=kb HTTP/1.1" 200 6703
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:14:36 +0900] "GET /JspStudy/ProjectFile/bootEx/images/kb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:15:52 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=kb HTTP/1.1" 200 6703
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:15:52 +0900] "GET /JspStudy/ProjectFile/bootEx/images/kb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:18:35 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=kb HTTP/1.1" 200 6703
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:18:35 +0900] "GET /JspStudy/ProjectFile/bootEx/images/kb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:18:37 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:18:37 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:18:37 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:19:30 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=kb HTTP/1.1" 200 6968
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:19:30 +0900] "GET /JspStudy/ProjectFile/bootEx/images/kb.png HTTP/1.1" 304 -
